sample,video_path,audio_path,label,class_name,is_labeled
12-31-22-0015-00,intel_robotic_welding_dataset/10_good_weld_plane_plate/12-31-22-0015-00/12-31-22-0015-00.avi,intel_robotic_welding_dataset/10_good_weld_plane_plate/12-31-22-0015-00/12-31-22-0015-00.flac,0,Good,1
12-31-22-0018-00,intel_robotic_welding_dataset/13_good_weld_butt/12-31-22-0018-00/12-31-22-0018-00.avi,intel_robotic_welding_dataset/13_good_weld_butt/12-31-22-0018-00/12-31-22-0018-00.flac,0,Good,1
04-03-23-0002-05,intel_robotic_welding_dataset/13_undercut_1_03-20-23_BSK46/04-03-23-0002-05/04-03-23-0002-05.avi,intel_robotic_welding_dataset/13_undercut_1_03-20-23_BSK46/04-03-23-0002-05/04-03-23-0002-05.flac,9,Undercut,1
04-01-23-0001-06,intel_robotic_welding_dataset/14_overlap_2_03-22-23_Fe410/04-01-23-0001-06/04-01-23-0001-06.avi,intel_robotic_welding_dataset/14_overlap_2_03-22-23_Fe410/04-01-23-0001-06/04-01-23-0001-06.flac,10,Overlap,1
04-01-23-0002-00,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0002-00/04-01-23-0002-00.avi,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0002-00/04-01-23-0002-00.flac,0,Good,1
04-01-23-0010-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0010-00/04-01-23-0010-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0010-00/04-01-23-0010-00.flac,0,Good,1
04-01-23-0022-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0022-00/04-01-23-0022-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0022-00/04-01-23-0022-00.flac,0,Good,1
01-02-23-0022-00,intel_robotic_welding_dataset/3_good_weld_butt/01-02-23-0022-00/01-02-23-0022-00.avi,intel_robotic_welding_dataset/3_good_weld_butt/01-02-23-0022-00/01-02-23-0022-00.flac,0,Good,1
04-01-23-0032-00,intel_robotic_welding_dataset/4_good_weld_6_02-17-23_Fe410/04-01-23-0032-00/04-01-23-0032-00.avi,intel_robotic_welding_dataset/4_good_weld_6_02-17-23_Fe410/04-01-23-0032-00/04-01-23-0032-00.flac,0,Good,1
04-01-23-0042-00,intel_robotic_welding_dataset/5_good_weld_7_02-17-23_Fe410/04-01-23-0042-00/04-01-23-0042-00.avi,intel_robotic_welding_dataset/5_good_weld_7_02-17-23_Fe410/04-01-23-0042-00/04-01-23-0042-00.flac,0,Good,1
