sample,video_path,audio_path,label,class_name,is_labeled
04-03-23-0010-11,intel_robotic_welding_dataset/10_crater_cracks_7_03-20-23_Fe410/04-03-23-0010-11/04-03-23-0010-11.avi,intel_robotic_welding_dataset/10_crater_cracks_7_03-20-23_Fe410/04-03-23-0010-11/04-03-23-0010-11.flac,11,Crater Cracks,0
04-03-23-0011-11,intel_robotic_welding_dataset/10_crater_cracks_7_03-20-23_Fe410/04-03-23-0011-11/04-03-23-0011-11.avi,intel_robotic_welding_dataset/10_crater_cracks_7_03-20-23_Fe410/04-03-23-0011-11/04-03-23-0011-11.flac,11,Crater Cracks,0
12-31-22-0017-00,intel_robotic_welding_dataset/10_good_weld_plane_plate/12-31-22-0017-00/12-31-22-0017-00.avi,intel_robotic_welding_dataset/10_good_weld_plane_plate/12-31-22-0017-00/12-31-22-0017-00.flac,0,Good,0
12-31-22-0002-04,intel_robotic_welding_dataset/11_porosity_w_excessive_penetration/12-31-22-0002-04/12-31-22-0002-04.avi,intel_robotic_welding_dataset/11_porosity_w_excessive_penetration/12-31-22-0002-04/12-31-22-0002-04.flac,2,Porosity w/Excessive Penetration,0
04-03-23-0001-00,intel_robotic_welding_dataset/12_good_weld_1_03-19-23_BSK46/04-03-23-0001-00/04-03-23-0001-00.avi,intel_robotic_welding_dataset/12_good_weld_1_03-19-23_BSK46/04-03-23-0001-00/04-03-23-0001-00.flac,0,Good,0
12-31-22-0001-10,intel_robotic_welding_dataset/12_warping/12-31-22-0001-10/12-31-22-0001-10.avi,intel_robotic_welding_dataset/12_warping/12-31-22-0001-10/12-31-22-0001-10.flac,6,Warping,0
12-31-22-0019-00,intel_robotic_welding_dataset/13_good_weld_butt/12-31-22-0019-00/12-31-22-0019-00.avi,intel_robotic_welding_dataset/13_good_weld_butt/12-31-22-0019-00/12-31-22-0019-00.flac,0,Good,0
04-01-23-0004-06,intel_robotic_welding_dataset/16_overlap_4_03-22-23_Fe410/04-01-23-0004-06/04-01-23-0004-06.avi,intel_robotic_welding_dataset/16_overlap_4_03-22-23_Fe410/04-01-23-0004-06/04-01-23-0004-06.flac,10,Overlap,0
04-01-23-0005-06,intel_robotic_welding_dataset/17_overlap_6_03-22-23_Fe410/04-01-23-0005-06/04-01-23-0005-06.avi,intel_robotic_welding_dataset/17_overlap_6_03-22-23_Fe410/04-01-23-0005-06/04-01-23-0005-06.flac,10,Overlap,0
04-01-23-0003-00,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0003-00/04-01-23-0003-00.avi,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0003-00/04-01-23-0003-00.flac,0,Good,0
04-01-23-0004-00,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0004-00/04-01-23-0004-00.avi,intel_robotic_welding_dataset/1_good_weld_1_02-09-23_Fe410/04-01-23-0004-00/04-01-23-0004-00.flac,0,Good,0
04-01-23-0007-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0007-00/04-01-23-0007-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0007-00/04-01-23-0007-00.flac,0,Good,0
04-01-23-0014-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0014-00/04-01-23-0014-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0014-00/04-01-23-0014-00.flac,0,Good,0
04-01-23-0015-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0015-00/04-01-23-0015-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0015-00/04-01-23-0015-00.flac,0,Good,0
04-01-23-0016-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0016-00/04-01-23-0016-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0016-00/04-01-23-0016-00.flac,0,Good,0
04-01-23-0020-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0020-00/04-01-23-0020-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0020-00/04-01-23-0020-00.flac,0,Good,0
04-01-23-0021-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0021-00/04-01-23-0021-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0021-00/04-01-23-0021-00.flac,0,Good,0
04-01-23-0023-00,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0023-00/04-01-23-0023-00.avi,intel_robotic_welding_dataset/2_good_weld_2_02-09-23_Fe410/04-01-23-0023-00/04-01-23-0023-00.flac,0,Good,0
01-02-23-0021-00,intel_robotic_welding_dataset/2_good_weld_butt/01-02-23-0021-00/01-02-23-0021-00.avi,intel_robotic_welding_dataset/2_good_weld_butt/01-02-23-0021-00/01-02-23-0021-00.flac,0,Good,0
